交流Q群,#genre#
龙华日韩,http://litv.zapi.us.kg/?id=litv-longturn11
龙华偶像,http://litv.zapi.us.kg/?id=litv-longturn12
博斯无限2,http://litv.zapi.us.kg/?id=litv-longturn13
寰宇新闻台,http://litv.zapi.us.kg/?id=litv-longturn14
寰宇新闻台湾台,http://litv.zapi.us.kg/?id=litv-longturn15
亚洲旅游台,http://litv.zapi.us.kg/?id=litv-longturn17
龙华戏剧,http://litv.zapi.us.kg/?id=litv-longturn18
Smart知识台,http://litv.zapi.us.kg/?id=litv-longturn19
生活英语台,http://litv.zapi.us.kg/?id=litv-longturn20
龙华经典,http://litv.zapi.us.kg/?id=litv-longturn21
台湾戏剧台,http://litv.zapi.us.kg/?id=litv-longturn22
A K港台,#genre#
鳳凰中文,http://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8
鳳凰資訊,http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8
鳳凰香港,http://aktv.top/AKTV/live/aktv/null-5/AKTV.m3u8
翡翠台,http://aktv.top/AKTV/live/aktv/null/AKTV.m3u8
翡翠剧集台(北美),http://aktv.top/AKTV/live/aktv/null-18/AKTV.m3u8
翡翠综合台(北美),http://aktv.top/AKTV/live/aktv/null-17/AKTV.m3u8
無線新聞台,http://aktv.top/AKTV/live/aktv/null-1/AKTV.m3u8
无线新闻台(北美),http://aktv.top/AKTV/live/aktv2/null-1/AKTV.m3u8
明珠台,http://aktv.top/AKTV/live/aktv/null-2/AKTV.m3u8
明珠剧集台(北美),http://aktv.top/AKTV/live/aktv/null-19/AKTV.m3u8
TVBPlus,http://aktv.top/AKTV/live/aktv/tvbplus/AKTV.m3u8
myTVSUPER18台,http://aktv.top/AKTV/live/aktv/mytvsuper18/AKTV.m3u8
黃金翡翠台,http://aktv.top/AKTV/live/aktv/null-21/AKTV.m3u8
TVB 星河台,http://aktv.top/AKTV/live/aktv2/tvb/AKTV.m3u8
viutv 99,http://aktv.top/AKTV/live/aktv2/viutv99/AKTV.m3u8
viutv6 96,http://aktv.top/AKTV/live/aktv2/viutv696/AKTV.m3u8
Hoy 78,http://aktv.top/AKTV/live/aktv/hoy78/AKTV.m3u8
PopC,http://aktv.top/AKTV/live/aktv/popc/AKTV.m3u8
千禧經典台,http://aktv.top/AKTV/live/aktv/null-15/AKTV.m3u8
娛樂新聞台(HK),http://aktv.top/AKTV/live/aktv/hk/AKTV.m3u8
爆谷台,http://aktv.top/AKTV/live/aktv2/null/AKTV.m3u8
Now星影台,http://aktv.top/AKTV/live/aktv2/now/AKTV.m3u8
美亞電影台(HK),http://aktv.top/AKTV/live/aktv/hk-1/AKTV.m3u8
中天新聞台,http://aktv.top/AKTV/live/aktv/null-8/AKTV.m3u8
TVBS-新聞台,http://aktv.top/AKTV/live/aktv/tvbs-1/AKTV.m3u8
TVBS,http://aktv.top/AKTV/live/aktv/tvbs/AKTV.m3u8
tvN,http://aktv.top/AKTV/live/aktv/tvn/AKTV.m3u8
中天亞洲台,http://aktv.top/AKTV/live/aktv/null-12/AKTV.m3u8
中視,http://aktv.top/AKTV/live/aktv/null-10/AKTV.m3u8
華視,http://aktv.top/AKTV/live/aktv/null-11/AKTV.m3u8
靖天電影台,http://aktv.top/AKTV/live/aktv/null-6/AKTV.m3u8
龍華日韓台,http://aktv.top/AKTV/live/aktv/null-22/AKTV.m3u8
龍華經典台,http://aktv.top/AKTV/live/aktv/null-7/AKTV.m3u8
龍華電影台,http://aktv.top/AKTV/live/aktv/null-23/AKTV.m3u8
Animax-HK,http://aktv.top/AKTV/live/aktv3/animaxhk/AKTV.m3u8
C+台,http://aktv.top/AKTV/live/aktv3/c/AKTV.m3u8
DW,http://aktv.top/AKTV/live/aktv3/dw/AKTV.m3u8
France 24,http://aktv.top/AKTV/live/aktv3/france24/AKTV.m3u8
Love Nature HD,http://aktv.top/AKTV/live/aktv3/lovenaturehd/AKTV.m3u8
NHK World-Japan,http://aktv.top/AKTV/live/aktv3/nhkworldjapan/AKTV.m3u8
Nick Jr,http://aktv.top/AKTV/live/aktv3/nickjr/AKTV.m3u8
Nickelodeon,http://aktv.top/AKTV/live/aktv3/nickelodeon/AKTV.m3u8
ROCK Action,http://aktv.top/AKTV/live/aktv3/rockaction/AKTV.m3u8
ROCK Action,http://aktv.top/AKTV/live/aktv/rockaction/AKTV.m3u8
Thrill,http://aktv.top/AKTV/live/aktv3/thrill/AKTV.m3u8
ZooMoo,http://aktv.top/AKTV/live/aktv3/zoomoo/AKTV.m3u8
亞洲新聞台,http://aktv.top/AKTV/live/aktv3/null-3/AKTV.m3u8
東方衛視國際頻道,http://aktv.top/AKTV/live/aktv3/null/AKTV.m3u8
無線衛星新聞台,http://aktv.top/AKTV/live/aktv3/null-2/AKTV.m3u8
神州新聞台,http://aktv.top/AKTV/live/aktv3/null-1/AKTV.m3u8
Channel 5 HD,http://aktv.top/AKTV/live/aktv/channel5hd/AKTV.m3u8
Channel 8 HD,http://aktv.top/AKTV/live/aktv/channel8hd/AKTV.m3u8
Channel U HD,http://aktv.top/AKTV/live/aktv/channeluhd/AKTV.m3u8
28 AI 智慧賽馬,http://aktv.top/AKTV/live/aktv/28ai/AKTV.m3u8
2 1 1台湾,#genre#
