China=大陸_,#genre#
ViusixTV HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/ea8c0d5ddc580c08c1a10df61504414d/master.m3u8
HoyTV HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/a0e00e72e0063a23b197b5877c9c04dd/master.m3u8
Hoy資訊 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/35ddc2e2a41f20dd87759003eaa6ed22/master.m3u8
香港國際 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/168b522ed701b8617d3155b19ada9a01/master.m3u8
鳳凰中文 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/721a9cb7a9160c04018ff454d96e3e5b/master.m3u8
鳳凰資訊 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/6962576de51ac8508ee587851df80c91/master.m3u8
鳳凰香港 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/05d251651879c24fab214e587046ad62/master.m3u8
TVB黃金翡翠,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/1ff4001bc38aeb51e02943cebde3d3e9/master.m3u8
TVB亞洲劇,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/8f46a63a06a0c1fb94f58631de1c2c9f/master.m3u8
TVB華語劇,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/e294a1888354abe58284b9cbb4ebf7e3/master.m3u8
TVB黃金華劇,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/453046a5e7e9cae0ab1cd1a82789548d/master.m3u8
TVB粵語片,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/6a254bcdfa0009d2e5066fffe06d3269/master.m3u8
TVB戲曲,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/009492d6f3919001b9014ca200393f21/master.m3u8
TVB星河(粵)HK,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/ece2334bebd4bea40671cf340918303b/master.m3u8
TVB功夫 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/a1fea11a56e22f87ec4b59e79f883318/master.m3u8
MyTV Super18,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/eb990bc8a2a8db3b490b7c535a7008b7/master.m3u8
