央视,#genre#
爱科幻,http://[2409:8087:5e08:24::17]:6610/000000001000/2000000004000000033/index.m3u8?channel-id=hnbblive&Contentid=2000000004000000033&livemode=1&stbId=3
爱经典,http://[2409:8087:5e08:24::17]:6610/000000001000/2000000004000000037/index.m3u8?channel-id=hnbblive&Contentid=2000000004000000037&livemode=1&stbId=3
爱谍战,http://[2409:8087:5e08:24::17]:6610/000000001000/2000000004000000038/index.m3u8?channel-id=hnbblive&Contentid=2000000004000000038&livemode=1&stbId=3
爱赛车,http://[2409:8087:5e08:24::17]:6610/000000001000/2000000004000000055/index.m3u8?channel-id=hnbblive&Contentid=2000000004000000055&livemode=1&stbId=3
爱院线,http://[2409:8087:5e08:24::17]:6610/000000001000/2000000004000000034/index.m3u8?channel-id=hnbblive&Contentid=2000000004000000034&livemode=1&stbId=3
爱青春,http://[2409:8087:5e08:24::17]:6610/000000001000/2000000004000000041/index.m3u8?channel-id=hnbblive&Contentid=2000000004000000041&livemode=1&stbId=3
探索纪实,http://[2409:8087:5e08:24::11]:6610/000000001000/5359008697329269813/index.m3u8?channel-id=wasusyt&Contentid=5359008697329269813&livemode=1&stbId=3
电子竞技,http://[2409:8087:5e08:24::11]:6610/000000001000/6000000003000011654/index.m3u8?channel-id=wasusyt&Contentid=6000000003000011654&livemode=1&stbId=3
风尚音乐,http://[2409:8087:5e08:24::11]:6610/000000001000/5529729098703832176/index.m3u8?channel-id=wasusyt&Contentid=5529729098703832176&livemode=1&stbId=3
高清娱乐,http://[2409:8087:5e08:24::11]:6610/000000001000/6000000003000001569/index.m3u8?channel-id=wasusyt&Contentid=6000000003000001569&livemode=1&stbId=3
精品剧场,http://[2409:8087:5e08:24::11]:6610/000000001000/8230197131234717902/index.m3u8?channel-id=wasusyt&Contentid=8230197131234717902&livemode=1&stbId=3
聚鲨环球精选,http://[2409:8087:5e08:24::11]:6610/000000001000/6000000004000014516/index.m3u8?channel-id=wasusyt&Contentid=6000000004000014516&livemode=1&stbId=3
漫游世界,http://[2409:8087:5e08:24::11]:6610/000000001000/6000000003000028434/index.m3u8?channel-id=wasusyt&Contentid=6000000003000028434&livemode=1&stbId=3
精品综合,http://[2409:8087:5e00:24::1e]:6060/000000001000/5595720619887440144/index.m3u8?channel-id=bestzb&Contentid=5595720619887440144&livemode=1&stbId=3
睛彩篮球,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000006000270002/index.m3u8?channel-id=bestzb&Contentid=1000000006000270002&livemode=1&stbId=3
睛彩青少,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000006000270007/index.m3u8?channel-id=ystenlive&Contentid=1000000006000270007&livemode=1&stbId=3
睛彩竞技,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000006000270005/index.m3u8?channel-id=bestzb&Contentid=1000000006000270005&livemode=1&stbId=3
热播精选,http://[2409:8087:5e00:24::1e]:6060/000000001000/7681593242002292003/index.m3u8?channel-id=bestzb&Contentid=7681593242002292003&livemode=1&stbId=3
纯享4K,http://[2409:8087:5e08:24::17]:6610/000000001000/1000000004000011651/index.m3u8?channel-id=bestzb&Contentid=1000000004000011651&livemode=1&stbId=3

少儿,#genre#
卡酷少儿,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000265008/index.m3u8?channel-id=bestzb&Contentid=5000000011000265008&livemode=1&stbId=3
金鹰卡通,http://[2409:8087:5e08:24::17]:6610/000000001000/5000000006000040024/index.m3u8?channel-id=bestzb&Contentid=5000000006000040024&livemode=1&stbId=3
哈哈炫动,http://[2409:8087:5e08:24::17]:6610/000000001000/5000000011000031123/index.m3u8?channel-id=bestzb&Contentid=5000000011000031123&livemode=1&stbId=3
嘉佳卡通,http://[2409:8087:5e08:24::17]:6610/000000001000/1000000002000025964/index.m3u8?channel-id=bestzb&Contentid=1000000002000025964&livemode=1&stbId=3
黑莓动画,http://[2409:8087:5e08:24::17]:6610/000000001000/1000000004000021734/index.m3u8?channel-id=bestzb&Contentid=1000000004000021734&livemode=1&stbId=3
动漫秀场,http://[2409:8087:5e08:24::17]:6610/000000001000/5000000011000031113/index.m3u8?channel-id=bestzb&Contentid=5000000011000031113&livemode=1&stbId=3
