Decoder=3
Host=http://45.205.24.2

央视,#genre#
CCTV 9 ,http://cache.ott.bestlive.itv.cmvideo.cn/000000001000/1000000005000265009/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265009&livemode=1&stbId=b46e09c1b7970a800b84aa39a1a69080&AuthInfo=noqBT8QYJm4oQebYVv%2FImFnX168qN9QsqpQVhycht9OpGZiqRphJw3Sx7bneLs0e42a5%2BGLyJQuDuLglpEnRN8Ft8i20ffFrh3iPL%2Fy4Kww%3D
CCTV 10,http://cache.ott.bestlive.itv.cmvideo.cn/000000001000/1000000001000023734/1.m3u8?channel-id=ystenlive&Contentid=1000000001000023734&livemode=1&stbId=b46e09c1b7970a800b84aa39a1a69080&AuthInfo=noqBT8QYJm4oQebYVv%2FImFnX168qN9QsqpQVhycht9OpGZiqRphJw3Sx7bneLs0e42a5%2BGLyJQuDuLglpEnRN8Ft8i20ffFrh3iPL%2Fy4Kww%3D
CCTV 10 ,http://cache.ott.bestlive.itv.cmvideo.cn/000000001000/5000000004000012827/1.m3u8?channel-id=bestzb&Contentid=5000000004000012827&livemode=1&stbId=b46e09c1b7970a800b84aa39a1a69080&AuthInfo=noqBT8QYJm4oQebYVv%2FImFnX168qN9QsqpQVhycht9OpGZiqRphJw3Sx7bneLs0e42a5%2BGLyJQuDuLglpEnRN8Ft8i20ffFrh3iPL%2Fy4Kww%3D
CCTV 10 ,http://cache.ott.bestlive.itv.cmvideo.cn/000000001000/1000000005000265010/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265010&livemode=1&stbId=b46e09c1b7970a800b84aa39a1a69080&AuthInfo=noqBT8QYJm4oQebYVv%2FImFnX168qN9QsqpQVhycht9OpGZiqRphJw3Sx7bneLs0e42a5%2BGLyJQuDuLglpEnRN8Ft8i20ffFrh3iPL%2Fy4Kww%3D
CCTV 11 ,http://cache.ott.bestlive.itv.cmvideo.cn/000000001000/5000000011000031106/1.m3u8?channel-id=bestzb&Contentid=5000000011000031106&livemode=1&stbId=b46e09c1b7970a800b84aa39a1a69080&AuthInfo=noqBT8QYJm4oQebYVv%2FImFnX168qN9QsqpQVhycht9OpGZiqRphJw3Sx7bneLs0e42a5%2BGLyJQuDuLglpEnRN8Ft8i20ffFrh3iPL%2Fy4Kww%3D
CCTV 11 ,http://cache.ott.bestlive.itv.cmvideo.cn/000000001000/1000000005000265011/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265011&livemode=1&stbId=b46e09c1b7970a800b84aa39a1a69080&AuthInfo=noqBT8QYJm4oQebYVv%2FImFnX168qN9QsqpQVhycht9OpGZiqRphJw3Sx7bneLs0e42a5%2BGLyJQuDuLglpEnRN8Ft8i20ffFrh3iPL%2Fy4Kww%3D
CCTV 12,http://cache.ott.bestlive.itv.cmvideo.cn/000000001000/1000000001000032494/1.m3u8?channel-id=ystenlive&Contentid=1000000001000032494&livemode=1&stbId=b46e09c1b7970a800b84aa39a1a69080&AuthInfo=noqBT8QYJm4oQebYVv%2FImFnX168qN9QsqpQVhycht9OpGZiqRphJw3Sx7bneLs0e42a5%2BGLyJQuDuLglpEnRN8Ft8i20ffFrh3iPL%2Fy4Kww%3D
CCTV 12 ,http://cache.ott.bestlive.itv.cmvideo.cn/000000001000/6000000001000022586/1.m3u8?channel-id=wasusyt&Contentid=6000000001000022586&livemode=1&stbId=b46e09c1b7970a800b84aa39a1a69080&AuthInfo=noqBT8QYJm4oQebYVv%2FImFnX168qN9QsqpQVhycht9OpGZiqRphJw3Sx7bneLs0e42a5%2BGLyJQuDuLglpEnRN8Ft8i20ffFrh3iPL%2Fy4Kww%3D
CCTV 12 ,http://cache.ott.bestlive.itv.cmvideo.cn/000000001000/1000000005000265012/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265012&livemode=1&stbId=b46e09c1b7970a800b84aa39a1a69080&AuthInfo=noqBT8QYJm4oQebYVv%2FImFnX168qN9QsqpQVhycht9OpGZiqRphJw3Sx7bneLs0e42a5%2BGLyJQuDuLglpEnRN8Ft8i20ffFrh3iPL%2Fy4Kww%3D
CCTV 13 ,http://cache.ott.bestlive.itv.cmvideo.cn/000000001000/5000000011000031108/1.m3u8?channel-id=bestzb&Contentid=5000000011000031108&livemode=1&stbId=b46e09c1b7970a800b84aa39a1a69080&AuthInfo=noqBT8QYJm4oQebYVv%2FImFnX168qN9QsqpQVhycht9OpGZiqRphJw3Sx7bneLs0e42a5%2BGLyJQuDuLglpEnRN8Ft8i20ffFrh3iPL%2Fy4Kww%3D
CCTV 14,http://cache.ott.bestlive.itv.cmvideo.cn/000000001000/1000000001000008170/1.m3u8?channel-id=ystenlive&Contentid=1000000001000008170&livemode=1&stbId=b46e09c1b7970a800b84aa39a1a69080&AuthInfo=noqBT8QYJm4oQebYVv%2FImFnX168qN9QsqpQVhycht9OpGZiqRphJw3Sx7bneLs0e42a5%2BGLyJQuDuLglpEnRN8Ft8i20ffFrh3iPL%2Fy4Kww%3D
CCTV 14 ,http://cache.ott.bestlive.itv.cmvideo.cn/000000001000/5000000004000006673/1.m3u8?channel-id=bestzb&Contentid=5000000004000006673&livemode=1&stbId=b46e09c1b7970a800b84aa39a1a69080&AuthInfo=noqBT8QYJm4oQebYVv%2FImFnX168qN9QsqpQVhycht9OpGZiqRphJw3Sx7bneLs0e42a5%2BGLyJQuDuLglpEnRN8Ft8i20ffFrh3iPL%2Fy4Kww%3D
CCTV 14 ,http://cache.ott.bestlive.itv.cmvideo.cn/000000001000/1000000005000265013/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265013&livemode=1&stbId=b46e09c1b7970a800b84aa39a1a69080&AuthInfo=noqBT8QYJm4oQebYVv%2FImFnX168qN9QsqpQVhycht9OpGZiqRphJw3Sx7bneLs0e42a5%2BGLyJQuDuLglpEnRN8Ft8i20ffFrh3iPL%2Fy4Kww%3D
CCTV 15 ,http://cache.ott.bestlive.itv.cmvideo.cn/000000001000/5000000011000031109/1.m3u8?channel-id=bestzb&Contentid=5000000011000031109&livemode=1&stbId=b46e09c1b7970a800b84aa39a1a69080&AuthInfo=noqBT8QYJm4oQebYVv%2FImFnX168qN9QsqpQVhycht9OpGZiqRphJw3Sx7bneLs0e42a5%2BGLyJQuDuLglpEnRN8Ft8i20ffFrh3iPL%2Fy4Kww%3D
