央视ITV,#genre#
CCTV-16http://111.29.9.33:6610/000000001000/1/2000000003000000059.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000003000000059$湖南bblive4M
CCTV-16,http://111.29.9.33:6610/000000001000/1/1000000006000233001.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000006000233001$易视腾4M
CCTV-16-4K,http://111.29.9.33:6610/000000001000/1/5000000008000023254.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000008000023254$百视通12M
CCTV-17,http://111.29.9.33:6610/000000001000/1/1000000006000268004.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000006000268004$易视腾8M
CCTV-17,http://111.29.9.33:6610/000000001000/1/1000000005000265015.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000265015$易视腾HEVC
CCTV-17http://111.29.9.33:6610/000000001000/1/2000000003000000038.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000003000000038$湖南bblive4M
CCTV-17,http://111.29.9.33:6610/000000001000/1/1000000005000056836.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000056836$易视腾4M
CGTN,http://111.29.9.33:6610/000000001000/1/7745129417417101820.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=7745129417417101820$湖南bblive8M
CGTN,http://111.29.9.33:6610/000000001000/1/1000000002000009569.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000002000009569$易视腾4M
CGTN阿拉伯语,http://111.29.9.33:6610/000000001000/1/1000000006000280001.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000006000280001$易视腾4M
CGTN俄语,http://111.29.9.33:6610/000000001000/1/1000000006000280004.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000006000280004$易视腾4M
CGTN法语,http://111.29.9.33:6610/000000001000/1/1000000006000280003.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000006000280003$易视腾4M
CGTN记录,http://111.29.9.33:6610/000000001000/1/7114647837765104058.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=7114647837765104058$湖南bblive8M
CGTN西班牙语,http://111.29.9.33:6610/000000001000/1/1000000006000280002.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000006000280002$易视腾4M
4KUHD,http://111.29.9.33:6610/000000001000/1/1000000004000011651.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000004000011651$易视腾20M
华数4K,http://111.29.9.33:6610/000000001000/0/6000000003000004748.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=wasusyt&Contentid=6000000003000004748$华数16M
华数4K,http://111.29.9.33:6610/000000001000/1/2000000004000000014.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000014$湖南bblive15M
华数服务,http://111.29.9.33:6610/000000001000/1/2000000004000000025.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000025$湖南bblive4M
中国教育1,http://111.29.9.33:6610/000000001000/1/5000000002000002652.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000002000002652$百视通4M
中国教育1,http://111.29.9.33:6610/000000001000/1/1000000002000027253.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000002000027253$易视腾4M
